MatchNumber,DateUTC,Stage,StageDetail,Group,Home,Away,HostAdvantage,HomeTeamScore,AwayTeamScore,Played,PlaceHolderA,PlaceHolderB,Winner
62,2026-06-26T19:00:00Z,Group,First Stage,Group I,Senegal,Iraq,0,5.0,0.0,True,I2,I3,43879
63,2026-06-27T03:00:00Z,Group,First Stage,Group G,Egypt,Iran,0,1.0,1.0,True,G2,G3,
64,2026-06-27T03:00:00Z,Group,First Stage,Group G,New Zealand,Belgium,0,1.0,5.0,True,G4,G1,43935
65,2026-06-27T00:00:00Z,Group,First Stage,Group H,Cape Verde,Saudi Arabia,0,0.0,0.0,True,H2,H3,
66,2026-06-27T00:00:00Z,Group,First Stage,Group H,Uruguay,Spain,0,0.0,1.0,True,H4,H1,43969
67,2026-06-27T21:00:00Z,Group,First Stage,Group L,Panama,England,0,0.0,2.0,True,L4,L1,43942
68,2026-06-27T21:00:00Z,Group,First Stage,Group L,Croatia,Ghana,0,2.0,1.0,True,L2,L3,43938
69,2026-06-28T02:00:00Z,Group,First Stage,Group J,Algeria,Austria,0,3.0,3.0,True,J2,J3,
70,2026-06-28T02:00:00Z,Group,First Stage,Group J,Jordan,Argentina,0,1.0,3.0,True,J4,J1,43922
71,2026-06-27T23:30:00Z,Group,First Stage,Group K,Colombia,Portugal,0,0.0,0.0,True,K4,K1,
72,2026-06-27T23:30:00Z,Group,First Stage,Group K,DR Congo,Uzbekistan,0,3.0,1.0,True,K2,K3,20014
73,2026-06-28T19:00:00Z,Round32,Round of 32,,South Africa,Canada,-1,0.0,1.0,True,2A,2B,43899
74,2026-06-29T20:30:00Z,Round32,Round of 32,,Germany,Paraguay,0,1.0,1.0,True,1E,3ABCDF,43928
75,2026-06-30T01:00:00Z,Round32,Round of 32,,Netherlands,Morocco,0,1.0,1.0,True,1F,2C,43872
76,2026-06-29T17:00:00Z,Round32,Round of 32,,Brazil,Japan,0,2.0,1.0,True,1C,2F,43924
77,2026-06-30T21:00:00Z,Round32,Round of 32,,France,Sweden,0,3.0,0.0,True,1I,3CDFGH,43946
78,2026-06-30T17:00:00Z,Round32,Round of 32,,Ivory Coast,Norway,0,1.0,2.0,True,2E,2I,43961
79,2026-07-01T02:00:00Z,Round32,Round of 32,,Mexico,Ecuador,1,2.0,0.0,True,1A,3CEFHI,
80,2026-07-01T16:00:00Z,Round32,Round of 32,,England,DR Congo,0,,,False,1L,3EHIJK,
81,2026-07-02T00:00:00Z,Round32,Round of 32,,USA,Bosnia and Herzegovina,1,,,False,1D,3BEFIJ,
82,2026-07-01T20:00:00Z,Round32,Round of 32,,Belgium,Senegal,0,,,False,1G,3AEHIJ,
83,2026-07-02T23:00:00Z,Round32,Round of 32,,Portugal,Croatia,0,,,False,2K,2L,
84,2026-07-02T19:00:00Z,Round32,Round of 32,,Spain,Austria,0,,,False,1H,2J,
85,2026-07-03T03:00:00Z,Round32,Round of 32,,Switzerland,Algeria,0,,,False,1B,3EFGIJ,
86,2026-07-03T22:00:00Z,Round32,Round of 32,,Argentina,Cape Verde,0,,,False,1J,2H,
87,2026-07-04T01:30:00Z,Round32,Round of 32,,Colombia,Ghana,0,,,False,1K,3DEIJL,
88,2026-07-03T18:00:00Z,Round32,Round of 32,,Australia,Egypt,0,,,False,2D,2G,
89,2026-07-04T21:00:00Z,Round16,Round of 16,,Paraguay,France,0,,,False,W74,W77,
